City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
136,Rio Grande,BR,-32.035,-52.0986,64.51,82,16,16.6,few clouds
137,Isangel,VU,-19.55,169.2667,75.33,81,56,13.91,broken clouds
138,Alice Springs,AU,-23.7,133.8833,56.75,38,2,5.75,clear sky
139,Naryan-Mar,RU,67.6713,53.087,44.02,92,100,9.66,overcast clouds
140,Khatanga,RU,71.9667,102.5,30.33,96,100,13.67,light snow
141,Daugavpils,LV,55.8833,26.5333,40.71,84,32,6.2,scattered clouds
142,Tasiilaq,GL,65.6145,-37.6368,39.36,67,11,7.54,few clouds
143,Bonavista,CA,48.6499,-53.1147,56.12,94,100,16.31,overcast clouds
144,Kaduna,NG,10.5222,7.4383,72.07,87,100,2.13,overcast clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,60.01,51,0,28.99,clear sky
146,Chegdomyn,RU,51.1167,133.0167,37.44,97,36,1.99,scattered clouds
147,Faanui,PF,-16.4833,-151.75,79.45,72,16,19.82,light rain
148,Blora,ID,-6.9698,111.4186,75.61,83,93,3.15,overcast clouds
149,Mount Isa,AU,-20.7333,139.5,69.57,73,6,0.0,clear sky
150,Port Elizabeth,ZA,-33.918,25.5701,57.49,77,90,10.36,overcast clouds
151,Port Blair,IN,11.6667,92.75,80.55,82,18,6.35,few clouds
152,Harper,LR,4.375,-7.7169,76.8,89,100,7.36,moderate rain
153,Tuatapere,NZ,-46.1333,167.6833,47.82,76,96,10.22,overcast clouds
154,Finnsnes,NO,69.2296,17.9811,42.35,82,98,3.89,overcast clouds
155,Okha,RU,53.5739,142.9478,55.81,96,100,9.19,overcast clouds
156,Breyten,ZA,-26.3018,29.987,53.94,84,98,10.04,overcast clouds
157,Buraydah,SA,26.326,43.975,80.91,20,8,8.88,clear sky
158,Grao Mogol,BR,-16.5594,-42.8897,78.01,38,76,2.3,broken clouds
159,Te Anau,NZ,-45.4167,167.7167,41.36,80,77,0.85,broken clouds
160,Upernavik,GL,72.7868,-56.1549,31.39,60,99,1.48,overcast clouds
161,Izhma,RU,65.0083,53.9113,43.03,98,99,5.35,overcast clouds
162,Sitka,US,57.0531,-135.33,49.89,76,90,17.27,light rain
163,Ahipara,NZ,-35.1667,173.1667,57.99,75,64,12.19,broken clouds
164,Ormara,PK,25.2088,64.6357,87.76,59,23,9.31,few clouds
165,Herve,BE,50.6411,5.7961,48.07,92,8,7.52,clear sky
166,Teya,RU,60.3778,92.6267,32.76,81,84,1.43,broken clouds
167,Sorland,NO,67.667,12.6934,46.47,81,100,10.16,overcast clouds
168,East London,ZA,-33.0153,27.9116,59.5,88,100,16.17,moderate rain
169,Saint George,US,37.1041,-113.5841,77.47,30,1,4.0,clear sky
170,Kodiak,US,57.79,-152.4072,45.81,53,53,8.23,broken clouds
171,Sydney Mines,CA,46.2367,-60.2177,58.19,96,90,3.0,mist
172,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,20,3.44,few clouds
173,Llangefni,GB,53.2556,-4.3106,56.73,62,75,18.41,broken clouds
174,Kayerkan,RU,69.3497,87.7602,31.46,95,100,22.03,snow
175,Solnechnyy,RU,50.7214,136.6319,51.28,95,100,0.49,overcast clouds
176,Ipixuna,BR,-1.7625,-48.8043,82.35,80,99,4.74,overcast clouds
177,Thompson,CA,55.7435,-97.8558,70.23,57,100,9.42,overcast clouds
178,Chandbali,IN,20.7833,86.7667,78.85,90,100,4.74,overcast clouds
179,Sao Desiderio,BR,-12.3633,-44.9733,85.41,31,95,1.12,overcast clouds
180,Afogados Da Ingazeira,BR,-7.7508,-37.6392,85.08,38,76,15.12,broken clouds
181,Aksu,CN,41.1231,80.2644,66.87,20,64,0.56,broken clouds
182,Urumqi,CN,43.801,87.6005,54.55,38,0,4.47,clear sky
183,Chengam,IN,12.3,78.8,77.09,73,80,3.13,broken clouds
184,Guerrero Negro,MX,27.9769,-114.0611,73.53,59,0,18.66,clear sky
185,Provideniya,RU,64.3833,-173.3,37.51,65,90,17.9,moderate rain
186,Fairbanks,US,64.8378,-147.7164,28.22,81,90,0.0,overcast clouds
187,Shar,KZ,49.5886,81.0453,54.01,49,100,10.47,moderate rain
188,Union,US,40.6334,-74.2663,70.3,47,75,10.36,broken clouds
189,Iranshahr,IR,27.2025,60.6848,89.94,33,0,0.0,clear sky
190,Montelibano,CO,7.9829,-75.4229,83.52,81,92,6.08,overcast clouds
191,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,10.36,scattered clouds
192,Nikolskoye,RU,59.7035,30.7861,46.29,88,57,3.44,broken clouds
193,Syracuse,IT,37.0881,15.2792,75.88,74,0,8.23,clear sky
194,Cabo San Lucas,MX,22.8909,-109.9124,91.51,66,6,5.91,clear sky
195,Bafia,CM,4.75,11.2333,70.23,95,100,1.52,overcast clouds
196,Zhanaozen,KZ,43.3,52.8,49.64,50,48,10.85,scattered clouds
