City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
520,Sambava,MG,-14.2667,50.1667,72.3,84,77,10.16,light rain
521,Kattivakkam,IN,13.2167,80.3167,86.09,58,99,8.75,overcast clouds
522,Guantanamo,CU,20.1444,-75.2092,75.27,90,95,2.95,overcast clouds
523,Luanda,AO,-8.8368,13.2343,71.37,88,55,8.01,broken clouds
524,Maceio,BR,-9.6658,-35.7353,74.64,94,20,3.44,few clouds
525,Tselinnoye,RU,53.0833,85.6667,40.06,90,100,8.08,light rain
526,Cedar City,US,37.6775,-113.0619,52.77,49,1,16.11,clear sky
527,Nyurba,RU,63.2842,118.3319,39.25,58,51,7.67,broken clouds
528,Platnirovskaya,RU,45.3953,39.3842,53.78,71,100,12.24,light rain
529,Yala,TH,6.3333,101.25,90.46,65,90,1.72,overcast clouds
530,Tangshan,CN,39.6333,118.1833,75.43,56,2,6.11,clear sky
531,Arlit,NE,18.7369,7.3853,85.8,24,34,8.12,scattered clouds
532,Grindavik,IS,63.8424,-22.4338,40.95,87,90,37.98,overcast clouds
533,Talaya,RU,61.3833,152.75,26.33,57,100,10.63,overcast clouds
534,Minot,US,48.2325,-101.2963,80.82,36,1,14.0,clear sky
535,San Pedro,PH,14.35,121.0167,90.32,67,57,6.04,broken clouds
536,Wukari,NG,7.85,9.7833,72.28,96,100,3.67,moderate rain
537,Salalah,OM,17.0151,54.0924,82.49,74,20,1.14,few clouds
538,Pacifica,US,37.6138,-122.4869,65.82,79,40,1.99,haze
539,Denpasar,ID,-8.65,115.2167,85.66,74,40,12.66,scattered clouds
540,Togur,RU,58.3631,82.8265,41.4,67,22,6.22,few clouds
541,Kiama,AU,-34.6833,150.8667,67.37,87,100,5.01,light rain
542,Skibbereen,IE,51.55,-9.2667,46.2,71,5,10.92,clear sky
543,Sagaing,MM,21.8787,95.9797,86.18,74,75,1.14,broken clouds
544,Bhuvanagiri,IN,11.4667,79.6333,87.42,52,100,3.24,overcast clouds
545,Codrington,AU,-38.2667,141.9667,59.52,73,99,19.35,overcast clouds
546,Novosergiyevka,RU,52.0934,53.6528,37.8,73,100,9.22,overcast clouds
547,Te Anau,NZ,-45.4167,167.7167,47.61,83,83,9.06,broken clouds
548,Monrovia,LR,6.3005,-10.7969,74.52,90,94,4.14,light rain
549,Tortoli,IT,39.9256,9.6572,67.98,59,66,3.94,broken clouds
550,Kendari,ID,-3.945,122.4989,86.68,61,20,6.38,few clouds
551,Arman,RU,59.7,150.1667,37.27,54,88,8.9,overcast clouds
552,Komsomolskiy,UZ,40.4272,71.7189,72.32,37,3,6.91,clear sky
553,Darnah,LY,32.767,22.6367,73.6,84,8,10.96,clear sky
554,Elko,US,41.0002,-115.5012,46.42,43,100,10.0,overcast clouds
555,Saint-Avertin,FR,47.3636,0.7399,57.38,91,75,10.36,broken clouds
556,Prince Rupert,CA,54.3161,-130.3201,49.69,77,90,6.91,light rain
557,Dwarka,IN,22.2394,68.9678,83.5,78,100,10.38,overcast clouds
558,Santa Marta,CO,11.2408,-74.199,80.98,80,92,4.32,overcast clouds
559,Champerico,GT,14.3,-91.9167,83.35,83,76,6.55,broken clouds
560,Bodden Town,KY,19.2833,-81.25,82.92,84,3,7.25,clear sky
561,Mnogovershinnyy,RU,53.9353,139.9242,62.24,55,100,8.95,overcast clouds
562,Elban,RU,50.1018,136.5094,67.46,65,80,10.54,broken clouds
563,Goundam,ML,16.4145,-3.6708,87.67,13,0,5.93,clear sky
564,Hualmay,PE,-11.0964,-77.6139,62.08,85,30,6.78,scattered clouds
565,Ukiah,US,39.1502,-123.2078,60.03,72,1,0.0,clear sky
566,Mandurah,AU,-32.55,115.7,76.12,74,37,16.64,scattered clouds
567,Kapit,MY,2.0167,112.9333,83.98,80,97,3.04,overcast clouds
568,Nuevo Progreso,MX,23.1667,-97.95,81.46,69,20,1.01,few clouds
569,Gizo,SB,-8.103,156.8419,83.46,74,97,6.55,moderate rain
570,Ulaangom,MN,49.9811,92.0667,40.95,44,97,2.89,overcast clouds
571,Toyooka,JP,35.5333,134.8333,80.65,69,75,8.05,broken clouds
572,Sechura,PE,-5.5569,-80.8222,64.18,82,18,8.88,few clouds
573,Whitecourt,CA,54.1502,-115.6855,45.64,65,20,2.3,few clouds
574,Blackpool,GB,53.8167,-3.05,51.78,88,12,15.39,few clouds
575,Lagoa,PT,39.05,-27.9833,70.97,87,94,16.53,overcast clouds
576,Teluknaga,ID,-6.0989,106.6381,94.62,70,40,4.0,scattered clouds
577,Trairi,BR,-3.2778,-39.2689,78.87,84,12,13.29,few clouds
578,Uige,AO,-7.6087,15.0613,66.04,92,60,1.92,broken clouds
579,Gaziantep,TR,37.0594,37.3825,58.66,72,0,0.0,clear sky
580,Pangnirtung,CA,66.1451,-65.7125,35.31,51,100,2.64,overcast clouds
581,Englewood,US,39.6478,-104.9878,66.56,48,20,9.22,few clouds
582,Mazagao,BR,-0.115,-51.2894,82.45,84,0,3.96,clear sky
583,Igarka,RU,67.4667,86.5833,37.42,69,83,3.85,broken clouds
584,Pathein,MM,16.7833,94.7333,85.24,73,84,4.97,broken clouds
585,Konevo,RU,62.1215,39.3192,40.15,98,80,3.98,broken clouds
586,Port Augusta,AU,-32.5,137.7667,76.71,29,0,7.58,clear sky
587,Murdochville,CA,48.9583,-65.5006,38.28,91,32,2.98,scattered clouds
588,Cap Malheureux,MU,-19.9842,57.6142,75.69,61,40,8.01,scattered clouds
589,Conakry,GN,9.538,-13.6773,70.36,79,98,9.71,moderate rain
590,Tashtyp,RU,52.7939,89.8983,41.18,46,95,3.69,overcast clouds
591,Princeton,US,25.5384,-80.4089,81.0,77,1,0.0,clear sky
592,Severodvinsk,RU,64.5635,39.8302,37.51,92,93,5.57,overcast clouds
593,Gat,IL,31.61,34.7642,72.39,100,29,3.13,scattered clouds
594,Sumbawanga,TZ,-7.9667,31.6167,60.96,62,60,2.71,broken clouds
595,Ambilobe,MG,-13.2,49.05,76.44,58,10,6.22,clear sky
596,San Luis,AR,-33.295,-66.3356,59.56,46,0,7.61,clear sky
597,Pevek,RU,69.7008,170.3133,25.61,84,100,7.63,overcast clouds
598,Banda Aceh,ID,5.5577,95.3222,82.06,75,100,3.8,overcast clouds
599,Rio Grande,BR,-32.035,-52.0986,60.94,95,100,15.86,overcast clouds
600,Nhamunda,BR,-2.1861,-56.7131,76.35,75,22,0.72,few clouds
601,La Ronge,CA,55.1001,-105.2842,60.1,64,94,6.98,overcast clouds
602,Kabala,SL,9.5833,-11.55,69.78,95,96,1.28,overcast clouds
603,Sola,VU,-13.8833,167.55,79.9,77,99,12.53,overcast clouds
604,Nantucket,US,41.2835,-70.0995,65.14,88,94,15.32,overcast clouds
605,Shenzhen,CN,22.5455,114.0683,91.85,81,6,6.62,clear sky
606,Kawalu,ID,-7.3817,108.2082,80.51,67,96,4.43,overcast clouds
607,Verkhoyansk,RU,67.5447,133.385,31.69,55,18,1.41,few clouds
608,Quesnel,CA,52.9999,-122.5029,43.3,93,90,0.0,overcast clouds
